*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
15.044014	-0.019801	-1.770262	-0.003832	-0.900039	0.000000
15.048246	0.060966	-1.769701	-0.002747	2.771171	0.500000
15.053537	0.098483	-1.769888	-0.002085	4.476508	1.000000
15.058828	0.113073	-1.769888	-0.002180	5.139694	1.500000
15.063061	0.128184	-1.769701	-0.002274	5.826566	2.000000
15.069410	0.149027	-1.769888	-0.002416	6.773975	2.500000
15.073643	0.169870	-1.769701	-0.002133	7.721384	3.000000
15.079992	0.175081	-1.769888	-0.002180	7.958236	3.500000
15.084225	0.154759	-1.769888	-0.002888	7.034512	4.000000
15.089516	0.205304	-1.769888	-0.002983	9.331979	4.500000
15.093748	0.219373	-1.769701	-0.003927	9.971480	5.000000
15.099039	0.236047	-1.769888	-0.004730	10.729408	5.500000
15.104330	0.268875	-1.769888	-0.005107	12.221577	6.000000
15.109621	0.275649	-1.769514	-0.005863	12.529485	6.500000
15.113854	0.309519	-1.769701	-0.006901	14.069024	7.000000
15.118087	0.357457	-1.769888	-0.007562	16.248065	7.500000
15.123378	0.375695	-1.769701	-0.008129	17.077048	8.000000
15.128668	0.429887	-1.769888	-0.009593	19.540312	8.500000
15.135018	0.482515	-1.769701	-0.009734	21.932520	9.000000
15.137134	0.554945	-1.769888	-0.009593	25.224766	9.500000
15.143483	0.665934	-1.769888	-0.008601	30.269719	10.000000
15.147716	0.730026	-1.769888	-0.008932	33.183002	10.500000
15.153007	0.872280	-1.769701	-0.007610	39.649069	11.000000
15.158298	0.997338	-1.769888	-0.006854	45.333523	11.500000
15.164647	1.125522	-1.769888	-0.004541	51.160089	12.000000
15.168879	1.253185	-1.769888	-0.002935	56.962969	12.500000
15.173112	1.447025	-1.769888	-0.000008	65.773874	13.000000
15.179461	1.593968	-1.769888	0.001597	72.453108	13.500000
15.183694	1.700268	-1.769701	0.003580	77.284894	14.000000
15.190043	1.893586	-1.769888	0.006224	86.072113	14.500000
15.194276	2.041051	-1.769701	0.008632	92.775032	15.000000
15.198509	2.209879	-1.769701	0.011843	100.449045	15.500000
15.203800	2.374018	-1.769514	0.015054	107.909891	16.000000
15.208032	2.524608	-1.769888	0.017651	114.754922	16.500000
15.219672	2.595474	-1.769888	0.018736	117.976113	17.000000
15.219672	2.542325	-1.769514	0.018123	115.560220	17.500000
15.222847	2.947721	-1.769888	0.025441	133.987326	18.000000
15.229196	3.108212	-1.769888	0.029029	141.282375	18.500000
15.232371	3.244213	-1.769701	0.032240	147.464219	19.000000
15.238720	3.388551	-1.770262	0.035120	154.025027	19.500000
15.242952	3.527157	-1.769888	0.038284	160.325297	20.000000
15.249302	3.667847	-1.769888	0.042061	166.720309	20.500000
15.253534	3.749656	-1.769888	0.044091	170.438889	21.000000
15.259883	3.954959	-1.769888	0.048813	179.770868	21.500000
15.264116	4.084186	-1.769888	0.052212	185.644804	22.000000
15.268349	4.188401	-1.769701	0.054715	190.381850	22.500000
15.274698	4.334302	-1.769888	0.058397	197.013713	23.000000
15.278931	4.442164	-1.770262	0.061466	201.916555	23.500000
15.283164	4.586502	-1.769888	0.065244	208.477363	24.000000
15.288454	4.708955	-1.769888	0.068832	214.043391	24.500000
15.293745	4.818380	-1.769888	0.072231	219.017288	25.000000
15.297978	4.931975	-1.769888	0.076009	224.180668	25.500000
15.302211	5.011178	-1.769888	0.079125	227.780822	26.000000
15.308560	5.163332	-1.770075	0.083658	234.696908	26.500000
15.314909	5.272237	-1.769701	0.087624	239.647121	27.000000
15.319142	5.358735	-1.769701	0.090834	243.578868	27.500000
15.324433	5.486398	-1.769701	0.094989	249.381749	28.000000
15.329724	5.564039	-1.769888	0.098672	252.910847	28.500000
15.333956	5.691702	-1.769701	0.103205	258.713728	29.000000
15.339247	5.790706	-1.769888	0.107454	263.213921	29.500000
15.343480	5.864699	-1.769888	0.111042	266.577223	30.000000
15.348771	5.974125	-1.769888	0.115339	271.551121	30.500000
15.355120	5.943381	-1.769888	0.117180	270.153692	31.000000
15.358295	6.137742	-1.769888	0.123130	278.988282	31.500000
15.363586	6.215903	-1.769888	0.127473	282.541066	32.000000
15.368877	6.323245	-1.769888	0.132762	287.420222	32.500000
15.373109	6.403490	-1.769514	0.137389	291.067747	33.000000
15.378400	6.483736	-1.769701	0.142016	294.715272	33.500000
15.383691	6.561897	-1.769888	0.147021	298.268056	34.000000
15.388982	6.608273	-1.769888	0.150987	300.376041	34.500000
15.394273	6.729683	-1.769514	0.157030	305.894699	35.000000
15.398506	6.810971	-1.769888	0.162696	309.589594	35.500000
15.403797	6.871937	-1.769888	0.167795	312.360766	36.000000
15.409088	6.964167	-1.769701	0.173650	316.553051	36.500000
15.412262	7.017317	-1.769888	0.178655	318.968944	37.000000
15.418611	7.103815	-1.769888	0.185548	322.900691	37.500000
15.422844	7.200735	-1.769888	0.190081	327.306143	38.000000
15.428135	7.247111	-1.769701	0.196502	329.414129	38.500000
15.433426	7.314330	-1.769888	0.202735	332.469523	39.000000
15.437659	7.333609	-1.769888	0.208117	333.345876	39.500000
15.444008	7.435740	-1.769701	0.214680	337.988181	40.000000
15.448240	7.497227	-1.769701	0.221290	340.783037	40.500000
15.453531	7.560277	-1.769888	0.227948	343.648950	41.000000
15.458822	7.636875	-1.769701	0.234369	347.130678	41.500000
15.463055	7.689503	-1.769888	0.242207	349.522886	42.000000
15.468346	7.752032	-1.769701	0.249100	352.365113	42.500000
15.473637	7.763496	-1.769701	0.255191	352.886188	43.000000
15.477870	7.869274	-1.769888	0.263359	357.694289	43.500000
15.482102	7.925029	-1.770075	0.271102	360.228608	44.000000
15.490568	7.844784	-1.769701	0.275116	356.581083	44.500000
15.492684	8.041750	-1.769888	0.284323	365.534099	45.000000
15.499033	8.056861	-1.770075	0.292255	366.220970	45.500000
15.503266	8.133459	-1.769888	0.300943	369.702699	46.000000
15.508557	8.179835	-1.769888	0.308686	371.810684	46.500000
15.513848	8.218916	-1.769701	0.316854	373.587076	47.000000
15.520197	8.283529	-1.769888	0.325731	376.524044	47.500000
15.524430	8.242364	-1.770262	0.331821	374.652911	48.000000
15.528663	8.362732	-1.769888	0.341831	380.124198	48.500000
15.533954	8.419530	-1.769701	0.350896	382.705888	49.000000
15.537128	8.431514	-1.769888	0.358970	383.250648	49.500000
15.543477	8.506549	-1.769888	0.368083	386.661321	50.000000
15.547710	8.529476	-1.769701	0.377337	387.703471	50.500000
15.551943	8.575331	-1.769701	0.385930	389.787771	51.000000
15.558292	8.535729	-1.769701	0.392446	387.987693	51.500000
15.562525	8.672772	-1.769888	0.403872	394.216908	52.000000
15.568874	8.698305	-1.769888	0.413032	395.377484	52.500000
15.575223	8.721753	-1.769514	0.422428	396.443319	53.000000
15.577339	8.775424	-1.769514	0.432296	398.882898	53.500000
15.583688	8.792098	-1.769888	0.441880	399.640825	54.000000
15.588979	8.860880	-1.770262	0.452598	402.767275	54.500000
15.594270	8.906735	-1.769701	0.462230	404.851575	55.000000
15.598503	8.930183	-1.769701	0.473184	405.917410	55.500000
15.604852	8.963532	-1.769888	0.482911	407.433264	56.000000
15.609085	8.950505	-1.769701	0.491787	406.841134	56.500000
15.613317	9.019287	-1.769888	0.502835	409.967584	57.000000
15.617550	9.059931	-1.769888	0.513648	411.815031	57.500000
15.626016	8.991149	-1.769888	0.521438	408.688581	58.000000
15.628132	9.140697	-1.769888	0.532439	415.486241	58.500000
15.632365	9.140697	-1.769888	0.543535	415.486241	59.000000
15.637656	9.183947	-1.769888	0.555056	417.452115	59.500000
15.642947	9.221985	-1.769888	0.566293	419.181137	60.000000
15.648238	9.232407	-1.769888	0.577766	419.654841	60.500000
15.653529	9.263150	-1.769888	0.588767	421.052269	61.000000
15.659878	9.254813	-1.769701	0.598966	420.673306	61.500000
15.663052	9.318384	-1.769888	0.610675	423.562903	62.000000
15.668343	9.360070	-1.769888	0.623235	425.457722	62.500000
15.672576	9.379871	-1.769888	0.635038	426.357760	63.000000
15.678925	9.392377	-1.769514	0.645992	426.926206	63.500000
15.683158	9.435626	-1.769888	0.658552	428.892079	64.000000
15.688449	9.445526	-1.769888	0.669506	429.342099	64.500000
15.693740	9.417909	-1.769888	0.679799	428.086782	65.000000
15.697972	9.513266	-1.769888	0.693397	432.421178	65.500000
15.704321	9.529940	-1.769701	0.705578	433.179105	66.000000
15.708554	9.542446	-1.769888	0.718704	433.747551	66.500000
15.713845	9.573190	-1.769701	0.731263	435.144979	67.000000
15.718078	9.572147	-1.769888	0.743209	435.097609	67.500000
15.723369	9.618002	-1.769888	0.756948	437.181909	68.000000
15.727601	9.656040	-1.769888	0.768280	438.910930	68.500000
15.733951	9.661251	-1.769888	0.781595	439.147782	69.000000
15.737125	9.690952	-1.769888	0.795193	440.497840	69.500000
15.744532	9.675841	-1.769888	0.807469	439.810969	70.000000
15.748765	9.726907	-1.769888	0.821350	442.132121	70.500000
15.755114	9.731075	-1.769888	0.834759	442.321603	71.000000
