*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
13.472883	0.017195	-1.765399	-0.006024	0.781612	0.000000
13.477116	0.079724	-1.765399	-0.005835	3.623840	0.500000
13.481348	0.126100	-1.765399	-0.004891	5.731825	1.000000
13.487698	0.131832	-1.765773	-0.005930	5.992362	1.500000
13.494047	0.130269	-1.765773	-0.005835	5.921307	2.000000
13.498279	0.255327	-1.765773	-0.004466	11.605761	2.500000
13.502512	0.315250	-1.765399	-0.003569	14.329562	3.000000
13.506745	0.413212	-1.765399	-0.002105	18.782385	3.500000
13.510978	0.499711	-1.765399	-0.000358	22.714132	4.000000
13.517327	0.593504	-1.765586	0.000680	26.977473	4.500000
13.521560	0.722731	-1.765399	0.003041	32.851409	5.000000
13.527909	0.783176	-1.765399	0.004363	35.598895	5.500000
13.532141	0.992648	-1.765399	0.008990	45.120356	6.000000
13.536374	1.157308	-1.765399	0.012295	52.604888	6.500000
13.544840	1.284971	-1.765399	0.015223	58.407768	7.000000
13.549072	1.464742	-1.765773	0.019661	66.579171	7.500000
13.551189	1.591363	-1.765399	0.022305	72.334681	8.000000
13.555421	1.714337	-1.765399	0.024666	77.924395	8.500000
13.561771	1.870138	-1.765399	0.029198	85.006278	9.000000
13.568120	2.058246	-1.765399	0.033306	93.556644	9.500000
13.574469	2.204147	-1.765399	0.037131	100.188508	10.000000
13.574469	2.310968	-1.765773	0.039491	105.043979	10.500000
13.582934	2.497512	-1.765399	0.044071	113.523290	11.000000
13.587167	2.623091	-1.765773	0.047707	119.231430	11.500000
13.591400	2.747628	-1.765773	0.051484	124.892199	12.000000
13.597749	2.952932	-1.765399	0.056489	134.224178	12.500000
13.604098	3.065484	-1.765399	0.060502	139.340187	13.000000
13.606214	3.214512	-1.765960	0.064232	146.114162	13.500000
13.612563	3.324979	-1.765399	0.068246	151.135430	14.000000
13.618913	3.511003	-1.765399	0.073298	159.591055	14.500000
13.629494	3.476091	-1.765399	0.073534	158.004145	15.000000
13.629494	3.528720	-1.765399	0.075847	160.396353	15.500000
