*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
-6.297876	10.527695	-1.723316	0.245473	140.860416	42.500000
-6.292586	10.636078	-1.723129	0.248495	142.310587	43.000000
-6.287824	10.737167	-1.723316	0.250950	143.663151	43.500000
-6.282533	10.840340	-1.723129	0.253972	145.043602	44.000000
-6.277771	10.932049	-1.722755	0.255955	146.270670	44.500000
-6.272480	11.041475	-1.723129	0.258410	147.734785	45.000000
-6.267189	11.157153	-1.723316	0.261101	149.282564	45.500000
-6.261898	11.248862	-1.723316	0.263320	150.509631	46.000000
-6.257136	11.340572	-1.723316	0.265917	151.736699	46.500000
-6.253433	11.432281	-1.723129	0.268514	152.963767	47.000000
-6.248671	11.541707	-1.723129	0.271064	154.427882	47.500000
-6.242851	11.635500	-1.723316	0.273708	155.682838	48.000000
-6.238618	11.757432	-1.723129	0.276730	157.314280	48.500000
-6.232798	11.857478	-1.723503	0.279185	158.652900	49.000000
-6.228036	11.953356	-1.723129	0.281451	159.935743	49.500000
-6.222216	12.062782	-1.722942	0.284520	161.399858	50.000000
-6.217454	12.138859	-1.723503	0.286267	162.417767	50.500000
-6.212693	12.263917	-1.723129	0.289100	164.091041	51.000000
-6.207402	12.372300	-1.723316	0.292027	165.541212	51.500000
-6.204227	12.392101	-1.723129	0.292972	165.806148	52.000000
-6.196820	12.566140	-1.723129	0.297504	168.134788	52.500000
-6.192058	12.651596	-1.723316	0.299771	169.278192	53.000000
-6.187296	12.767275	-1.723129	0.302887	170.825971	53.500000
-6.182534	12.872532	-1.723316	0.305437	172.234310	54.000000
-6.177243	12.974663	-1.723316	0.308269	173.600817	54.500000
-6.172481	13.078878	-1.722381	0.311102	174.995212	55.000000
-6.166661	13.151828	-1.723129	0.313038	175.971289	55.500000
-6.162429	13.270633	-1.723503	0.316768	177.560900	56.000000
-6.157138	13.383186	-1.723129	0.319223	179.066847	56.500000
-6.152905	13.483232	-1.723129	0.321915	180.405466	57.000000
-6.146556	13.588489	-1.723129	0.325550	181.813805	57.500000
-6.142323	13.687493	-1.723129	0.327722	183.138481	58.000000
-6.138090	13.778160	-1.723129	0.330650	184.351605	58.500000
-6.132800	13.851111	-1.723316	0.333388	185.327681	59.000000
-6.127509	13.987633	-1.722942	0.336788	187.154339	59.500000
-6.122747	14.085595	-1.723316	0.340093	188.465071	60.000000
-6.117985	14.187725	-1.722755	0.342926	189.831578	60.500000
-6.112694	14.283603	-1.723129	0.346042	191.114422	61.000000
-6.107403	14.372186	-1.722942	0.349064	192.299658	61.500000
-6.103170	14.492033	-1.723129	0.351330	193.903212	62.000000
-6.097879	14.588953	-1.723129	0.355296	195.200000	62.500000
