*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
-13.016953	10.645458	-1.771384	0.204144	483.884438	42.500000
-13.010604	10.753841	-1.771197	0.206033	488.810965	43.000000
-13.007429	10.857014	-1.771197	0.208582	493.500640	43.500000
-13.000022	10.982072	-1.771197	0.211132	499.185094	44.000000
-12.996848	11.084203	-1.771384	0.213115	503.827399	44.500000
-12.991557	11.203008	-1.771197	0.216231	509.227630	45.000000
-12.986266	11.336403	-1.771384	0.218875	515.291048	45.500000
-12.982033	11.437492	-1.771010	0.221000	519.885982	46.000000
-12.975684	11.559423	-1.771384	0.223691	525.428325	46.500000
-12.972509	11.643837	-1.771197	0.225485	529.265332	47.000000
-12.966160	11.774106	-1.771010	0.228318	535.186638	47.500000
-12.961928	11.861647	-1.771384	0.230585	539.165756	48.000000
-12.953462	11.844972	-1.771384	0.229451	538.407829	48.500000
-12.953462	12.132606	-1.771010	0.235306	551.482074	49.000000
-12.947113	12.244116	-1.771384	0.237997	556.550713	49.500000
-12.940764	12.346246	-1.771197	0.240311	561.193017	50.000000
-12.936531	12.429618	-1.771384	0.242058	564.982653	50.500000
-12.931240	12.591152	-1.771384	0.245505	572.325073	51.000000
-12.927007	12.697451	-1.771384	0.247960	577.156860	51.500000
-12.919600	12.782907	-1.771384	0.249660	581.041237	52.000000
-12.916426	12.928808	-1.771384	0.252115	587.673100	52.500000
-12.913251	13.018433	-1.771384	0.254381	591.746959	53.000000
-12.906902	13.139322	-1.771197	0.256836	597.241932	53.500000
-12.902669	13.249790	-1.771010	0.258914	602.263200	54.000000
-12.897378	13.383186	-1.771384	0.261936	608.326617	54.500000
-12.892087	13.505117	-1.771384	0.264485	613.868960	55.000000
-12.888913	13.544719	-1.771197	0.265099	615.669038	55.500000
-12.881505	13.717716	-1.771384	0.268735	623.532533	56.000000
-12.877273	13.837563	-1.771384	0.271568	628.980135	56.500000
-12.871982	13.945947	-1.771197	0.273362	633.906662	57.000000
-12.866691	14.054330	-1.771384	0.276289	638.833189	57.500000
-12.862458	14.167925	-1.771384	0.278367	643.996568	58.000000
-12.856109	14.276308	-1.771384	0.281011	648.923095	58.500000
-12.851876	14.336753	-1.771197	0.282333	651.670582	59.000000
-12.846585	14.519129	-1.771384	0.285921	659.960411	59.500000
-12.841294	14.618133	-1.771384	0.288423	664.460604	60.000000
-12.838120	14.705674	-1.771384	0.290737	668.439722	60.500000
-12.832829	14.825521	-1.771384	0.293098	673.887324	61.000000
-12.826480	14.917230	-1.771010	0.295931	678.055924	61.500000
-12.818014	15.001644	-1.771384	0.297583	681.892931	62.000000
-12.815898	15.151714	-1.771384	0.299897	688.714276	62.500000
-12.811665	15.240297	-1.771010	0.301974	692.740764	63.000000
-12.806374	15.352849	-1.771384	0.304618	697.856773	63.500000
-12.803200	15.415378	-1.771384	0.305846	700.699000	64.000000
-12.796851	15.550858	-1.771384	0.309623	706.857159	64.500000
-12.791560	15.667578	-1.771384	0.311795	712.162650	65.000000
-12.787327	15.746782	-1.771197	0.313495	715.762804	65.500000
-12.782036	15.867671	-1.771197	0.316139	721.257777	66.000000
-12.775687	15.945832	-1.771384	0.317414	724.810561	66.500000
-12.771454	16.051089	-1.771384	0.319869	729.594977	67.000000
-12.767221	16.153220	-1.771758	0.321994	734.237281	67.500000
-12.761930	16.259519	-1.771197	0.324260	739.069067	68.000000
-12.756640	16.360608	-1.771197	0.326621	743.664001	68.500000
-12.750290	16.397083	-1.771010	0.327282	745.321967	69.000000
-12.747116	16.542984	-1.771384	0.330492	751.953830	69.500000
-12.741825	16.613850	-1.771010	0.331909	755.175021	70.000000
-12.736534	16.736824	-1.771384	0.334600	760.764734	70.500000
-12.731243	16.826449	-1.771758	0.336536	764.838593	71.000000
-12.727010	16.910863	-1.771197	0.338236	768.675600	71.500000
-12.721719	16.998404	-1.771010	0.340691	772.654718	72.000000
-12.716428	17.030710	-1.771010	0.341257	774.123202	72.500000
-12.712196	17.182864	-1.771197	0.344751	781.039288	73.000000
-12.706905	17.274574	-1.771197	0.346546	785.207888	73.500000
-12.702672	17.349608	-1.771197	0.348529	788.618561	74.000000
-12.697381	17.449655	-1.771384	0.350700	793.166124	74.500000
-12.691032	17.495509	-1.771197	0.351928	795.250424	75.000000
-12.682567	17.562207	-1.771197	0.353722	798.282133	75.500000
-12.682567	17.627862	-1.771384	0.355422	801.266472	76.000000
-12.677276	17.767510	-1.771197	0.357688	807.614112	76.500000
-12.671985	17.854009	-1.771197	0.360427	811.545860	77.000000
-12.665636	17.897779	-1.771384	0.361277	813.535419	77.500000
-12.662461	17.993657	-1.771010	0.363637	817.893501	78.000000
-12.657170	18.052017	-1.771384	0.365290	820.546246	78.500000
-12.651879	18.160401	-1.771384	0.367367	825.472773	79.000000
-12.646588	18.230225	-1.771384	0.369303	828.646593	79.500000
-12.642355	18.300049	-1.771384	0.371097	831.820414	80.000000
-12.636006	18.364662	-1.771197	0.372608	834.757382	80.500000
-12.632832	18.400095	-1.771384	0.373836	836.367977	81.000000
-12.626483	18.518901	-1.771197	0.376386	841.768209	81.500000
-12.621192	18.582472	-1.771384	0.377566	844.657806	82.000000
-12.618017	18.598104	-1.771758	0.378558	845.368363	82.500000
-12.610610	18.712740	-1.771384	0.381485	850.579113	83.000000
-12.606377	18.749216	-1.771197	0.382335	852.237079	83.500000
-12.601086	18.835714	-1.771384	0.384790	856.168826	84.000000
-12.595795	18.885737	-1.771384	0.385404	858.442608	84.500000
-12.591563	18.933676	-1.771010	0.387387	860.621649	85.000000
-12.587330	19.000374	-1.771197	0.388567	863.653358	85.500000
-12.583097	19.000374	-1.771384	0.388378	863.653358	86.000000
-12.576748	19.094167	-1.771197	0.390739	867.916699	86.500000
-12.572515	19.155654	-1.771197	0.392392	870.711555	87.000000
-12.568282	19.198382	-1.771010	0.393430	872.653744	87.500000
-12.561933	19.253616	-1.771197	0.394752	875.164378	88.000000
-12.557701	19.280712	-1.771197	0.395272	876.396010	88.500000
-12.551352	19.322398	-1.771384	0.396499	878.290828	89.000000
-12.547119	19.295302	-1.771384	0.396594	877.059196	89.500000
-12.542886	19.419318	-1.771384	0.398860	882.696280	90.000000
-12.536537	19.463088	-1.771197	0.400371	884.685839	90.500000
-12.532304	19.486016	-1.771197	0.400938	885.727989	91.000000
-12.527013	19.544376	-1.771384	0.401882	888.380734	91.500000
-12.521722	19.571472	-1.771384	0.403251	889.612366	92.000000
-12.516431	19.648591	-1.771384	0.404526	893.117780	92.500000
-12.512199	19.691319	-1.771197	0.405848	895.059968	93.000000
-12.506908	19.729879	-1.771384	0.407359	896.812675	93.500000
-12.501617	19.781986	-1.771384	0.408492	899.181197	94.000000
-12.498442	19.790324	-1.771010	0.409059	899.560161	94.500000
-12.492093	19.873696	-1.771384	0.410475	903.349797	95.000000
-12.487860	19.927887	-1.771384	0.411892	905.813061	95.500000
-12.479395	19.944562	-1.771384	0.412694	906.570988	96.000000
-12.476220	20.021076	-1.771384	0.414441	910.048928	96.500000
-12.471988	20.046088	-1.771384	0.415338	911.185818	97.000000
-12.466697	20.094027	-1.771384	0.416519	913.364859	97.500000
-12.462464	20.137797	-1.771197	0.418124	915.354418	98.000000
-12.457173	20.183652	-1.771197	0.419257	917.438718	98.500000
-12.451882	20.233675	-1.771384	0.420768	919.712500	99.000000
-12.448707	20.233675	-1.771384	0.420579	919.712500	99.500000
-12.441300	20.317047	-1.771197	0.422185	923.502136	100.000000
-12.437067	20.352480	-1.771384	0.423601	925.112732	100.500000
-12.430718	20.412925	-1.771384	0.425206	927.860218	101.000000
-12.426486	20.450442	-1.771384	0.426009	929.565554	101.500000
-12.420136	20.498381	-1.771384	0.427425	931.744595	102.000000
-12.419078	20.465032	-1.771197	0.427756	930.228740	102.500000
-12.411671	20.444189	-1.771384	0.426906	929.281331	103.000000
-12.407438	20.654704	-1.771197	0.431675	938.850163	103.500000
-12.402147	20.708895	-1.771384	0.433044	941.313426	104.000000
-12.397915	20.756834	-1.771010	0.434649	943.492467	104.500000
-12.391565	20.842291	-1.771197	0.436821	947.376844	105.000000
-12.387333	20.883977	-1.771384	0.438002	949.271662	105.500000
-12.382042	20.952758	-1.771384	0.439937	952.398112	106.000000
-12.377809	21.009035	-1.771197	0.441590	954.956117	106.500000
-12.371460	21.100744	-1.771384	0.443998	959.124717	107.000000
-12.367227	21.175779	-1.771384	0.445887	962.535389	107.500000
-12.361936	21.217465	-1.771384	0.447397	964.430207	108.000000
-12.357704	21.309174	-1.771384	0.449664	968.598807	108.500000
-12.352413	21.380040	-1.771197	0.451175	971.819998	109.000000
-12.343947	21.442569	-1.771384	0.453913	974.662225	109.500000
-12.341831	21.542615	-1.771384	0.456463	979.209789	110.000000
-12.337598	21.596807	-1.771197	0.458540	981.673052	110.500000
-12.332307	21.667673	-1.771384	0.459910	984.894243	111.000000
-12.327016	21.709359	-1.771197	0.462412	986.789061	111.500000
-12.321725	21.819827	-1.771197	0.465670	991.810329	112.000000
-12.316434	21.888609	-1.771197	0.467417	994.936779	112.500000
-12.312202	21.930295	-1.771384	0.468928	996.831597	113.000000
-12.306911	22.026173	-1.771384	0.471761	1001.189679	113.500000
-12.301620	22.067859	-1.771010	0.473744	1003.084497	114.000000
-12.297387	22.163737	-1.771384	0.476293	1007.442579	114.500000
-12.292096	22.242940	-1.771384	0.479126	1011.042733	115.000000
-12.286805	22.299216	-1.771384	0.481109	1013.600737	115.500000
-12.282572	22.382588	-1.771197	0.483564	1017.390374	116.000000
-12.276223	22.342987	-1.771384	0.483659	1015.590296	116.500000
-12.271990	22.493056	-1.771384	0.488097	1022.411642	117.000000
-12.266700	22.586850	-1.771384	0.490552	1026.674982	117.500000
-12.262467	22.651463	-1.771384	0.493102	1029.611950	118.000000
-12.257176	22.720245	-1.771197	0.495085	1032.738400	118.500000
-12.251885	22.784858	-1.771384	0.497776	1035.675368	119.000000
-12.246594	22.849471	-1.771197	0.499995	1038.612336	119.500000
-12.242361	22.878652	-1.771384	0.501978	1039.938709	120.000000
-12.236012	23.009962	-1.771197	0.506322	1045.907386	120.500000
-12.231779	23.064154	-1.771384	0.508305	1048.370650	121.000000
-12.227547	23.116262	-1.771384	0.510760	1050.739172	121.500000
-12.222256	23.197549	-1.771197	0.513593	1054.434068	122.000000
-12.216965	23.260078	-1.771197	0.515860	1057.276295	122.500000
-12.211674	23.343450	-1.771384	0.519354	1061.065931	123.000000
-12.207441	23.422654	-1.771197	0.522375	1064.666085	123.500000
-12.202150	23.476846	-1.771384	0.524925	1067.129349	124.000000
-12.197918	23.547712	-1.771197	0.528089	1070.350540	124.500000
-12.191568	23.576892	-1.771384	0.529741	1071.676912	125.000000
-12.187336	23.693613	-1.771197	0.533518	1076.982403	125.500000
-12.180987	23.764479	-1.771384	0.536493	1080.203594	126.000000
-12.177812	23.806165	-1.771384	0.539184	1082.098412	126.500000
-12.172521	23.904127	-1.771197	0.542489	1086.551235	127.000000
-12.166172	23.947897	-1.771010	0.544944	1088.540794	127.500000
-12.161939	24.022932	-1.771197	0.548438	1091.951466	128.000000
-12.157706	24.095883	-1.771197	0.551555	1095.267398	128.500000
-12.152415	24.177170	-1.771384	0.555237	1098.962293	129.000000
-12.148183	24.243868	-1.771197	0.558165	1101.994002	129.500000
-12.140775	24.202182	-1.771384	0.559015	1100.099184	130.000000
-12.137601	24.381432	-1.771384	0.564680	1108.246902	130.500000
-12.132310	24.452298	-1.771010	0.568269	1111.468093	131.000000
-12.127019	24.527333	-1.771010	0.571763	1114.878765	131.500000
-12.122786	24.594030	-1.771384	0.575446	1117.910474	132.000000
-12.116437	24.654475	-1.771197	0.579506	1120.657961	132.500000
-12.112204	24.725341	-1.771384	0.582245	1123.879151	133.000000
-12.106914	24.731594	-1.771010	0.584511	1124.163374	133.500000
-12.101623	24.869158	-1.771384	0.589988	1130.416274	134.000000
-12.097390	24.927518	-1.771384	0.593765	1133.069019	134.500000
-12.092099	24.981710	-1.772693	0.596881	1135.532283	135.000000
-12.085750	25.052576	-1.772132	0.600847	1138.753474	135.500000
-12.082575	25.094262	-1.772132	0.604200	1140.648292	136.000000
-12.077284	25.177634	-1.772319	0.608449	1144.437928	136.500000
-12.073052	25.235995	-1.772132	0.611282	1147.090673	137.000000
-12.067761	25.302692	-1.772319	0.615767	1150.122382	137.500000
-12.061412	25.369390	-1.772132	0.619828	1153.154091	138.000000
-12.056121	25.402739	-1.772132	0.623227	1154.669946	138.500000
-12.051888	25.477774	-1.772132	0.627382	1158.080618	139.000000
-12.047655	25.556977	-1.772132	0.631868	1161.680773	139.500000
-12.043422	25.604916	-1.771945	0.635881	1163.859814	140.000000
-12.037073	25.677866	-1.772132	0.639658	1167.175745	140.500000
-12.032841	25.727890	-1.772132	0.643861	1169.449527	141.000000
-12.026491	25.779997	-1.771758	0.647779	1171.818050	141.500000
-12.022259	25.819599	-1.771945	0.651651	1173.618127	142.000000
-12.016968	25.911308	-1.771758	0.656798	1177.786727	142.500000
-12.011677	25.961331	-1.772319	0.660622	1180.060508	143.000000
-12.005328	25.927982	-1.772132	0.663408	1178.544654	143.500000
-12.002153	26.061378	-1.772132	0.668365	1184.608072	144.000000
-11.996862	26.096811	-1.772132	0.672520	1186.218667	144.500000
-11.992629	26.182267	-1.772132	0.677808	1190.103044	145.000000
-11.987339	26.230206	-1.771945	0.681963	1192.282085	145.500000
-11.982048	26.278145	-1.772132	0.686543	1194.461126	146.000000
-11.976757	26.336505	-1.771945	0.691406	1197.113871	146.500000
-11.971466	26.334421	-1.772319	0.695184	1197.019130	147.000000
-11.967233	26.432383	-1.771945	0.701274	1201.471953	147.500000
-11.961942	26.490743	-1.772132	0.706799	1204.124698	148.000000
-11.957709	26.530345	-1.772132	0.711048	1205.924776	148.500000
-11.952418	26.584537	-1.771384	0.716242	1208.388039	149.000000
-11.948186	26.622054	-1.772132	0.721860	1210.093375	149.500000
-11.941837	26.667909	-1.771945	0.726535	1212.177675	150.000000
-11.937604	26.653319	-1.772319	0.730123	1211.514489	150.500000
-11.932313	26.784630	-1.772132	0.737300	1217.483166	151.000000
-11.927022	26.820063	-1.772132	0.742210	1219.093761	151.500000
-11.923847	26.861749	-1.771945	0.748065	1220.988580	152.000000
-11.916440	26.911772	-1.772132	0.753542	1223.262361	152.500000
-11.912207	26.947205	-1.772132	0.758735	1224.872957	153.000000
-11.907975	27.011818	-1.772132	0.765062	1227.809925	153.500000
-11.901626	27.070179	-1.772132	0.770162	1230.462670	154.000000
-11.897393	27.111865	-1.771945	0.776016	1232.357488	154.500000
-11.892102	27.136876	-1.771758	0.781729	1233.494379	155.000000
-11.888927	27.136876	-1.772132	0.786215	1233.494379	155.500000
-11.882578	27.224417	-1.771945	0.793297	1237.473497	156.000000
-11.869880	27.218164	-1.772319	0.797546	1237.189274	156.500000
-11.869880	27.136876	-1.771758	0.799860	1233.494379	157.000000
-11.867764	27.378655	-1.771758	0.809303	1244.484324	157.500000
-11.861414	27.378655	-1.771384	0.815394	1244.484324	158.000000
-11.857182	27.416173	-1.771758	0.822382	1246.189660	158.500000
-11.851891	27.472449	-1.771945	0.829370	1248.747665	159.000000
-11.847658	27.503713	-1.772132	0.835696	1250.168779	159.500000
-11.842367	27.539146	-1.772132	0.842495	1251.779374	160.000000
-11.838134	27.532893	-1.772132	0.849011	1251.495151	160.500000
-11.832843	27.607928	-1.771945	0.856896	1254.905824	161.000000
-11.827553	27.637108	-1.772319	0.864403	1256.232196	161.500000
-11.823320	27.689216	-1.772132	0.872052	1258.600719	162.000000
-11.816971	27.712143	-1.772319	0.879418	1259.642869	162.500000
-11.812738	27.749661	-1.774003	0.887633	1261.348205	163.000000
-11.806389	27.783009	-1.774377	0.895566	1262.864060	163.500000
-11.802156	27.728818	-1.773628	0.900948	1260.400796	164.000000
-11.795807	27.862213	-1.774003	0.910785	1266.464214	164.500000
-11.792632	27.878887	-1.774003	0.919189	1267.222142	165.000000
-11.787341	27.899730	-1.773628	0.927027	1268.169551	165.500000
-11.780992	27.939332	-1.774003	0.935809	1269.969628	166.000000
-11.776760	27.947669	-1.774003	0.943269	1270.348591	166.500000
-11.771469	27.997692	-1.774003	0.952523	1272.622373	167.000000
-11.766178	28.037294	-1.773816	0.960833	1274.422450	167.500000
-11.761945	28.045631	-1.773816	0.969238	1274.801414	168.000000
-11.757712	28.078980	-1.773628	0.978208	1276.317268	168.500000
-11.752421	28.072727	-1.773816	0.986329	1276.033046	169.000000
-11.748189	28.116497	-1.774003	0.995773	1278.022605	169.500000
-11.742898	28.137340	-1.774003	1.005404	1278.970014	170.000000
-11.738665	28.120666	-1.774003	1.013903	1278.212087	170.500000
-11.732316	28.206122	-1.773816	1.023724	1282.096464	171.000000
-11.727025	28.222797	-1.773816	1.034300	1282.854391	171.500000
-11.723850	28.233218	-1.774003	1.044215	1283.328095	172.000000
-11.717501	28.233218	-1.773816	1.054036	1283.328095	172.500000
-11.712210	28.287410	-1.774003	1.066029	1285.791359	173.000000
-11.707978	28.312421	-1.773628	1.077455	1286.928250	173.500000
-11.700570	28.283241	-1.773628	1.088126	1285.601877	174.000000
-11.697396	28.339517	-1.773628	1.100118	1288.159882	174.500000
-11.692105	28.341602	-1.773628	1.110978	1288.254623	175.000000
-11.687872	28.379119	-1.773628	1.123915	1289.959959	175.500000
-11.682581	28.391625	-1.773628	1.135530	1290.528404	176.000000
-11.677290	28.399962	-1.773628	1.147617	1290.907368	176.500000
-11.671999	28.420805	-1.773628	1.159515	1291.854777	177.000000
-11.666708	28.362445	-1.773628	1.169903	1289.202032	177.500000
-11.662476	28.445817	-1.774190	1.183123	1292.991668	178.000000
-11.657185	28.470828	-1.774003	1.196154	1294.128559	178.500000
-11.652952	28.466660	-1.773816	1.208903	1293.939077	179.000000
-11.647661	28.487503	-1.773816	1.221367	1294.886486	179.500000
-11.643428	28.483334	-1.773628	1.234493	1294.697004	180.000000
-11.637079	28.495840	-1.774003	1.248469	1295.265450	180.500000
-11.632846	28.479165	-1.773816	1.260556	1294.507522	181.000000
-11.627555	28.529189	-1.773628	1.276043	1296.781304	181.500000
-11.622265	28.531273	-1.773628	1.290019	1296.876045	182.000000
-11.615915	28.520851	-1.773816	1.304466	1296.402340	182.500000
-11.611683	28.539610	-1.774003	1.319198	1297.255009	183.000000
-11.607450	28.541694	-1.773816	1.334307	1297.349749	183.500000
-11.598984	28.487503	-1.774003	1.348188	1294.886486	184.000000
-11.596868	28.604223	-1.774003	1.362919	1300.191977	184.500000
-11.592635	28.587549	-1.774003	1.378878	1299.434049	185.000000
-11.588403	28.583380	-1.774003	1.395403	1299.244568	185.500000
-11.582053	28.539610	-1.773628	1.409757	1297.255009	186.000000
-11.577821	28.583380	-1.774003	1.426565	1299.244568	186.500000
-11.572530	28.600055	-1.773816	1.443468	1300.002495	187.000000
-11.569355	28.579212	-1.774003	1.459333	1299.055086	187.500000
-11.563006	28.608392	-1.773628	1.475480	1300.381458	188.000000
-11.557715	28.589633	-1.773628	1.492100	1299.528790	188.500000
-11.553482	28.587549	-1.773628	1.509192	1299.434049	189.000000
-11.547133	28.612561	-1.774003	1.526379	1300.570940	189.500000
-11.541842	28.600055	-1.773816	1.543659	1300.002495	190.000000
-11.537610	28.608392	-1.773816	1.561035	1300.381458	190.500000
-11.531261	28.537526	-1.773628	1.576332	1297.160268	191.000000
-11.528086	28.593802	-1.774003	1.594274	1299.718272	191.500000
-11.522795	28.612561	-1.773628	1.612216	1300.570940	192.000000
-11.517504	28.612561	-1.773628	1.631008	1300.570940	192.500000
-11.512213	28.593802	-1.774003	1.648477	1299.718272	193.000000
-11.507980	28.600055	-1.774003	1.666986	1300.002495	193.500000
-11.502690	28.591718	-1.774003	1.685117	1299.623531	194.000000
-11.497399	28.527104	-1.773628	1.701736	1296.686563	194.500000
-11.492108	28.606308	-1.773816	1.722322	1300.286718	195.000000
-11.487875	28.595886	-1.773628	1.740831	1299.813013	195.500000
-11.482584	28.581296	-1.774003	1.760567	1299.149827	196.000000
-11.477293	28.595886	-1.773628	1.779075	1299.813013	196.500000
-11.472002	28.564622	-1.773816	1.798245	1298.391899	197.000000
-11.467769	28.550032	-1.773628	1.816982	1297.728713	197.500000
-11.462478	28.600055	-1.773816	1.833791	1300.002495	198.000000
-11.457188	28.579212	-1.773628	1.854377	1299.055086	198.500000
-11.452955	28.579212	-1.773628	1.873830	1299.055086	199.000000
-11.446606	28.537526	-1.774003	1.892716	1297.160268	199.500000
-11.442373	28.560453	-1.774003	1.912735	1298.202418	200.000000
-11.436024	28.579212	-1.774190	1.933321	1299.055086	200.500000
-11.431791	28.541694	-1.773628	1.952963	1297.349749	201.000000
-11.427558	28.562537	-1.773628	1.972038	1298.297159	201.500000
-11.423326	28.541694	-1.773628	1.992057	1297.349749	202.000000
-11.416977	28.531273	-1.773816	2.012265	1296.876045	202.500000
-11.412744	28.495840	-1.774003	2.030585	1295.265450	203.000000
-11.407453	28.539610	-1.773816	2.051548	1297.255009	203.500000
-11.403220	28.531273	-1.774003	2.072134	1296.876045	204.000000
-11.395813	28.462491	-1.773628	2.090265	1293.749595	204.500000
-11.392638	28.525020	-1.773628	2.110284	1296.591822	205.000000
-11.387347	28.491671	-1.773816	2.130681	1295.075968	205.500000
-11.382056	28.516683	-1.774003	2.151834	1296.212859	206.000000
-11.376765	28.512514	-1.774003	2.172231	1296.023377	206.500000
-11.370416	28.491671	-1.774003	2.192061	1295.075968	207.000000
-11.368300	28.495840	-1.773816	2.213025	1295.265450	207.500000
-11.361951	28.422889	-1.773441	2.232289	1291.949518	208.000000
-11.357718	28.479165	-1.773628	2.254008	1294.507522	208.500000
